cell_id,n,cross_capacity_cycler_Ah,cross_capacity_integrated_Ah,documented
MATR_b3c17,1313,,,1315.0
MATR_b3c18,1144,,,1146.0
MATR_b3c19,1153,,,1155.0
MATR_b3c2,1265,,,1267.0
MATR_b3c20,811,,,813.0
MATR_b3c21,770,,,772.0
MATR_b3c22,1000,,,1002.0
MATR_b3c23,2188,,,
MATR_b3c24,823,,,825.0
MATR_b3c25,987,,,989.0
MATR_b3c26,1026,,,1028.0
MATR_b3c27,848,,,850.0
MATR_b3c28,539,,,541.0
MATR_b3c29,856,,,858.0
MATR_b3c3,1113,,,1115.0
MATR_b3c30,933,,,935.0
MATR_b3c31,729,,,731.0
MATR_b3c32,2236,,,
MATR_b3c33,1282,,,1284.0
MATR_b3c34,1156,,,1158.0
MATR_b3c35,1091,,,1093.0
MATR_b3c36,921,,,923.0
MATR_b3c37,1388,,,1390.0
MATR_b3c38,1933,,,1935.0
MATR_b3c39,1154,,,1156.0
MATR_b3c4,1046,,,1048.0
MATR_b3c40,794,,,796.0
MATR_b3c41,784,,,786.0
MATR_b3c42,1640,,,1642.0
MATR_b3c43,1044,,,1046.0
MATR_b3c44,938,,,940.0
MATR_b3c45,1799,,,1801.0
MATR_b3c5,826,,,828.0
MATR_b3c6,665,,,667.0
MATR_b3c7,1834,,,1836.0
MATR_b3c8,826,,,828.0
MATR_b3c9,1037,,,1039.0
MATR_b4c0,982,856.0,856.0,857.0
MATR_b4c1,861,760.0,760.0,761.0
MATR_b4c10,1082,872.0,872.0,873.0
MATR_b4c11,930,863.0,863.0,864.0
MATR_b4c12,898,818.0,818.0,819.0
MATR_b4c13,869,771.0,771.0,772.0
MATR_b4c14,767,607.0,607.0,608.0
MATR_b4c15,871,675.0,675.0,676.0
MATR_b4c16,983,909.0,909.0,910.0
MATR_b4c17,930,827.0,827.0,828.0
MATR_b4c18,1057,906.0,906.0,907.0
MATR_b4c19,1111,991.0,991.0,992.0
MATR_b4c2,784,742.0,742.0,743.0
MATR_b4c20,804,747.0,747.0,748.0
MATR_b4c21,903,773.0,773.0,774.0
MATR_b4c22,745,671.0,671.0,672.0
MATR_b4c23,1094,1038.0,1038.0,1039.0
MATR_b4c24,1115,988.0,988.0,989.0
MATR_b4c25,567,453.0,453.0,454.0
MATR_b4c26,579,476.0,476.0,477.0
MATR_b4c27,563,500.0,500.0,501.0
MATR_b4c28,882,828.0,828.0,829.0
MATR_b4c29,956,887.0,887.0,888.0
MATR_b4c3,911,777.0,777.0,778.0
MATR_b4c30,719,615.0,615.0,616.0
MATR_b4c31,832,559.0,559.0,560.0
MATR_b4c32,839,754.0,754.0,755.0
MATR_b4c33,530,505.0,505.0,506.0
MATR_b4c34,997,891.0,891.0,892.0
MATR_b4c35,1131,1081.0,1081.0,1082.0
MATR_b4c36,713,599.0,599.0,600.0
MATR_b4c37,1005,863.0,863.0,864.0
MATR_b4c38,1230,1055.0,1055.0,1166.0
MATR_b4c39,761,738.0,738.0,739.0
MATR_b4c4,912,656.0,656.0,657.0
MATR_b4c40,1122,871.0,871.0,1089.0
MATR_b4c41,997,836.0,836.0,837.0
MATR_b4c42,915,774.0,774.0,775.0
MATR_b4c43,951,750.0,750.0,751.0
MATR_b4c44,1077,942.0,942.0,943.0
MATR_b4c5,1067,913.0,913.0,914.0
MATR_b4c6,777,706.0,706.0,707.0
MATR_b4c7,562,529.0,529.0,530.0
MATR_b4c8,718,677.0,677.0,678.0
MATR_b4c9,529,442.0,442.0,443.0
