cell_id,dataset,n_stored,n_kept,n_dropped_by_cleaning,too_short,q1,q1_first,q1_material_diff,denominator,excluded_by_guard,T,q1_k1,q1_k10,q1_k20,q1_k50,T_r2_rho0.70,guard_r2_rho0.70,T_r1_rho0.70,guard_r1_rho0.70,T_r2_rho0.75,guard_r2_rho0.75,T_r1_rho0.75,guard_r1_rho0.75,T_r2_rho0.80,guard_r2_rho0.80,T_r1_rho0.80,guard_r1_rho0.80,T_r2_rho0.85,guard_r2_rho0.85,T_r1_rho0.85,guard_r1_rho0.85,T_r2_rho0.90,guard_r2_rho0.90,T_r1_rho0.90,guard_r1_rho0.90,t1,T_from_record_end,fit_start,fit_end,monotone_violation_Ah,monotone_within_tol,rmse_power_law,rmse_two_term_exponential,rmse_rollover,best_family_in_sample,n_pos_k2.0_m2,n_neg_k2.0_m2,n_pos_k2.0_m3,n_neg_k2.0_m3,n_pos_k2.5_m2,n_neg_k2.5_m2,n_pos_k2.5_m3,n_neg_k2.5_m3,n_pos_k3.0_m2,n_neg_k3.0_m2,n_pos_k3.0_m3,n_neg_k3.0_m3,n_pos_k3.5_m2,n_neg_k3.5_m2,n_pos_k3.5_m3,n_neg_k3.5_m3,n_pos_k4.0_m2,n_neg_k4.0_m2,n_pos_k4.0_m3,n_neg_k4.0_m3,residual_scale_Ah
MATR_b1c20,MATR,532,532,0,False,1.0762344988345025,1.0729113167832167,False,0.1962344988345024,False,532.0,1.0729113167832167,1.0762344988345025,1.0762344988345025,1.0762344988345025,,False,,False,,False,,False,532.0,False,,False,475.0,False,504.0,False,352.0,False,420.0,False,7.0,True,7.0,532.0,0.003323182051285789,True,0.0043658351111226165,0.001588508140881323,0.001526200100843125,rollover,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017151873439909175
MATR_b1c21,MATR,557,557,0,False,1.086218375291379,1.0827725083916084,False,0.20621837529137887,False,557.0,1.0827725083916084,1.086218375291379,1.086218375291379,1.086218375291379,,False,,False,,False,,False,557.0,False,,False,523.0,False,535.0,False,452.0,False,479.0,False,7.0,False,7.0,557.0,0.0034458668997705555,True,0.006438174120790034,0.001435240976067244,0.001389659240618954,rollover,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0013756719918120554
MATR_b1c22,MATR,889,889,0,False,1.0836297538461572,1.0796626181818183,False,0.2036297538461571,False,,1.0796626181818183,1.0831292587412622,1.0836297538461572,1.083875280419584,,False,,False,,False,,False,,False,,False,,False,,False,844.0,False,876.0,False,18.0,False,18.0,889.0,0.0042550440559474545,True,0.0026798700503874394,0.0007758116983489148,0.0007898992042447093,two_term_exponential,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009587866918483141
MATR_b1c23,MATR,1012,1012,0,False,1.0831145179487216,1.0796933706293703,False,0.20311451794872148,False,1012.0,1.0796933706293703,1.0827813072261108,1.0831145179487216,1.083332424475528,,False,,False,,False,,False,1012.0,False,,False,953.0,False,974.0,False,867.0,False,898.0,False,18.0,True,18.0,1012.0,0.003696843123547122,True,0.003731653314410674,0.0011489048318256282,0.0009974619259140172,rollover,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011916735285536855
MATR_b1c24,MATR,1015,1015,0,False,1.078371781585085,1.0747819678321677,False,0.19837178158508495,False,1015.0,1.0747819678321677,1.0778393482517519,1.078371781585085,1.0787548517482555,,False,,False,,False,,False,1015.0,False,,False,948.0,False,978.0,False,851.0,False,895.0,False,19.0,True,19.0,1015.0,0.004109709090912794,True,0.003705765808989917,0.0013262652308550919,0.000952463382398255,rollover,3.0,5.0,3.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009890322467138602
MATR_b1c25,MATR,852,852,0,False,1.0793122790209826,1.0755278615384611,False,0.19931227902098247,False,852.0,1.0755278615384611,1.0785673037296073,1.0793122790209826,1.0795732363636399,,False,,False,,False,,False,852.0,False,,False,790.0,False,817.0,False,704.0,False,741.0,False,19.0,True,19.0,852.0,0.004211274825178801,True,0.002840943201913667,0.0021583095366860773,0.0008877265878418555,rollover,0.0,5.0,0.0,4.0,0.0,4.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0008414311233067999
MATR_b1c26,MATR,868,868,0,False,1.091463445454549,1.0879792692307695,False,0.21146344545454898,False,868.0,1.0879792692307695,1.091162283449887,1.091463445454549,1.0915326480186518,,False,,False,,False,,False,868.0,False,,False,815.0,False,826.0,False,746.0,False,760.0,False,14.0,True,14.0,868.0,0.003553378787882311,True,0.00344518272515624,0.0015063367733127782,0.0007886205488066408,rollover,12.0,9.0,7.0,3.0,8.0,4.0,4.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006362085011182593
MATR_b1c27,MATR,840,840,0,False,1.08276243636364,1.0793470111888113,False,0.20276243636363978,False,840.0,1.0793470111888113,1.0823867400932436,1.08276243636364,1.0829269410256446,,False,,False,,False,,False,840.0,False,,False,791.0,False,810.0,False,720.0,False,749.0,False,14.0,True,14.0,840.0,0.0035799298368333066,True,0.0034461788721906065,0.001197373176169203,0.0006558185563967344,rollover,7.0,2.0,3.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0005851022145937793
MATR_b1c28,MATR,858,858,0,False,1.0811753869463905,1.0781334916083913,False,0.20117538694639037,False,858.0,1.0781334916083913,1.0809689144522179,1.0811753869463905,1.0812670850815886,,False,,False,,False,,False,858.0,False,,False,792.0,False,816.0,False,714.0,False,742.0,False,20.0,True,20.0,858.0,0.0032806785547825346,True,0.0033000611329048013,0.0026790299548728825,0.0011231101182122662,rollover,3.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001187476822699945
MATR_b1c29,MATR,915,915,0,False,1.0832527911421947,1.0797808335664336,False,0.20325279114219463,False,915.0,1.0797808335664336,1.082887275291379,1.0832527911421947,1.0834410482517518,,False,,False,,False,,False,915.0,False,,False,849.0,False,872.0,False,768.0,False,797.0,False,20.0,True,20.0,915.0,0.003859194172497693,True,0.0036939576477853777,0.001964504765480691,0.0008975220524225776,rollover,4.0,6.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008709917113206194
MATR_b1c3,MATR,1432,1432,0,False,1.0849810657342693,1.0800317251748255,False,0.20498106573426922,False,1432.0,1.0800317251748255,1.0842022668997706,1.0849810657342693,1.0857531456876495,,False,,False,,False,,False,1432.0,False,,False,1301.0,False,1345.0,False,1180.0,False,1221.0,False,20.0,True,20.0,1432.0,0.005979675524478756,True,0.0045804205763939196,0.0034858737685139027,0.0015277005817805015,rollover,7.0,7.0,7.0,3.0,4.0,3.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012744673823111168
MATR_b1c30,MATR,707,707,0,False,1.0838315762237798,1.080224300699301,False,0.20383157622377968,False,707.0,1.080224300699301,1.0834364053613088,1.0838315762237798,1.0838315762237798,,False,,False,,False,,False,707.0,False,,False,665.0,False,678.0,False,614.0,False,632.0,False,20.0,True,20.0,707.0,0.0036072755244787036,True,0.004530092692597064,0.0020916554537506174,0.0007634097727897823,rollover,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008284362688941002
MATR_b1c31,MATR,874,874,0,False,1.0983169682983722,1.09500627972028,False,0.2183169682983721,False,874.0,1.09500627972028,1.0982344139860178,1.0983169682983722,1.0983169682983722,,False,,False,,False,,False,874.0,False,874.0,False,823.0,False,827.0,False,759.0,False,764.0,False,13.0,True,13.0,874.0,0.003310688578092247,True,0.004247946457217655,0.0022040931075030207,0.0008972590189478089,rollover,4.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008835246276259755
MATR_b1c32,MATR,729,729,0,False,1.0813510976690013,1.078123133566434,False,0.20135109766900117,False,729.0,1.078123133566434,1.0811238867132902,1.0813510976690013,1.0813510976690013,,False,,False,,False,,False,729.0,False,,False,675.0,False,694.0,False,617.0,False,638.0,False,20.0,True,20.0,729.0,0.003395782051285101,True,0.0034928242618764683,0.0024384129583650263,0.001054364301618939,rollover,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001290148257622942
MATR_b1c33,MATR,755,755,0,False,1.0965167762237797,1.0928354300699297,False,0.21651677622377963,False,755.0,1.0928354300699297,1.0962922261072299,1.0965167762237797,1.0965167762237797,,False,,False,,False,,False,755.0,False,755.0,False,702.0,False,708.0,False,645.0,False,652.0,False,15.0,False,15.0,755.0,0.0038153333333372785,True,0.003394816151741466,0.0020062104203066354,0.0008451362407489982,rollover,4.0,5.0,4.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0007997834957565927
MATR_b1c34,MATR,740,740,0,False,1.0804175680652717,1.0769782811188813,False,0.20041756806527156,False,740.0,1.0769782811188813,1.0799655121212157,1.0804175680652717,1.08101445641026,,False,,False,,False,,False,740.0,False,,False,697.0,False,713.0,False,647.0,False,667.0,False,14.0,True,14.0,740.0,0.0042933447552482296,True,0.004573872021732062,0.0018421856044818791,0.0010853629678952209,rollover,2.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010713869696005799
MATR_b1c35,MATR,701,701,0,False,1.0745774247086284,1.0711045055944053,False,0.19457742470862827,False,701.0,1.0711045055944053,1.0742225312354348,1.0745774247086284,1.0754368969697006,,False,,False,,False,,False,701.0,False,,False,652.0,False,675.0,False,595.0,False,623.0,False,14.0,True,14.0,701.0,0.004569719347323309,True,0.0025303283182346267,0.001909603049236751,0.0007357002889669718,rollover,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009185293022759002
MATR_b1c36,MATR,702,702,0,False,1.0819264717948753,1.078183753146853,False,0.20192647179487522,False,702.0,1.078183753146853,1.0815079340326377,1.0819264717948753,1.0819891139860176,,False,,False,,False,,False,702.0,False,,False,652.0,False,670.0,False,597.0,False,617.0,False,18.0,True,18.0,702.0,0.004104549417253134,True,0.0032523364315587837,0.002553174736599106,0.0009491859276742063,rollover,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001067136336324997
MATR_b1c37,MATR,646,646,0,False,1.078749237529141,1.0751396951048953,False,0.19874923752914087,False,646.0,1.0751396951048953,1.0782734599067634,1.078749237529141,1.0788774606060643,,False,,False,,False,,False,646.0,False,,False,603.0,False,622.0,False,548.0,False,572.0,False,18.0,True,18.0,646.0,0.004050552214455605,True,0.0032355875816020897,0.002099942440991424,0.0007892129190344547,rollover,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009805423022921401
MATR_b1c38,MATR,615,615,0,False,1.0764563393939428,1.0731666699300701,False,0.1964563393939427,False,615.0,1.0731666699300701,1.0761912631701667,1.0764563393939428,1.0764802617715654,,False,,False,,False,,False,615.0,False,,False,573.0,False,592.0,False,528.0,False,548.0,False,19.0,True,19.0,615.0,0.003313591841495267,True,0.00369265522748498,0.002302469589835691,0.0013780316064688478,rollover,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001783811162592904
MATR_b1c39,MATR,623,623,0,False,1.0860723601398639,1.0821603916083913,False,0.20607236013986374,False,623.0,1.0821603916083913,1.0856903116550154,1.0860723601398639,1.086315841491845,,False,,False,,False,,False,623.0,False,,False,580.0,False,592.0,False,534.0,False,548.0,False,20.0,False,20.0,623.0,0.004155755011658879,True,0.0033289261835360855,0.0026800962525527668,0.001176543132474096,rollover,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001392674876166501
MATR_b1c4,MATR,1707,1707,0,False,1.0828334538461575,1.078335218881119,False,0.20283345384615736,False,1707.0,1.078335218881119,1.0818543305361341,1.0828334538461575,1.0835486142191177,,False,,False,,False,,False,1707.0,False,,False,1570.0,False,1619.0,False,1406.0,False,1468.0,False,20.0,True,20.0,1707.0,0.005767561771565344,True,0.005021159957786574,0.0017687148020984732,0.0015076200391271155,rollover,4.0,6.0,4.0,3.0,5.0,3.0,1.0,1.0,7.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001085957485232386
MATR_b1c40,MATR,964,964,0,False,1.0874031818181855,1.0836753895104898,False,0.2074031818181854,False,964.0,1.0836753895104898,1.0872075557109593,1.0874031818181855,1.087657435431239,,False,,False,,False,,False,964.0,False,,False,901.0,False,920.0,False,813.0,False,839.0,False,20.0,True,20.0,964.0,0.003982045920749133,True,0.002725440558127816,0.0008368556232364029,0.0005073364077580968,rollover,9.0,4.0,5.0,3.0,5.0,2.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0004416376774805762
MATR_b1c41,MATR,1049,1049,0,False,1.083128194405598,1.0793120965034964,False,0.20312819440559782,False,1049.0,1.0793120965034964,1.0828994195804231,1.083128194405598,1.083611845221449,,False,,False,,False,,False,1049.0,False,,False,980.0,False,1005.0,False,888.0,False,923.0,False,20.0,True,20.0,1049.0,0.004368436363640038,True,0.0044390794065979075,0.0016165339173286612,0.0010526211316738573,rollover,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013733709006230473
MATR_b1c42,MATR,700,700,0,False,1.084126252214456,1.0803204608391612,False,0.2041262522144558,False,700.0,1.0803204608391612,1.0837894041958078,1.084126252214456,1.08448526643357,,False,,False,,False,,False,700.0,False,,False,644.0,False,662.0,False,581.0,False,603.0,False,19.0,True,19.0,700.0,0.004347235897439239,True,0.0026398191177554133,0.00276896653159032,0.0007550617254929706,rollover,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009106602798735373
MATR_b1c43,MATR,649,649,0,False,1.0716266890442927,1.0685591825174825,False,0.1916266890442926,False,649.0,1.0685591825174825,1.0715153692307728,1.0716266890442927,1.0716266890442927,,False,,False,,False,,False,649.0,False,,False,601.0,False,626.0,False,544.0,False,574.0,False,15.0,True,15.0,649.0,0.003067506526810204,True,0.003522583172497417,0.0027013512590244506,0.0009045526235600363,rollover,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009997119168924104
MATR_b1c44,MATR,614,614,0,False,1.088312417249421,1.0851293657342658,False,0.20831241724942084,False,614.0,1.0851293657342658,1.0882764871794908,1.088312417249421,1.088312417249421,,False,,False,,False,,False,614.0,False,,False,562.0,False,575.0,False,506.0,False,521.0,False,13.0,True,13.0,614.0,0.0031830515151551886,True,0.0025309800192812974,0.002696628575504137,0.0007230984608200965,rollover,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008775743059611622
MATR_b1c45,MATR,597,597,0,False,1.0878406757575796,1.0843047762237767,False,0.20784067575757947,False,597.0,1.0843047762237767,1.0876095242424277,1.0878406757575796,1.0878406757575796,,False,,False,,False,,False,597.0,False,,False,551.0,False,563.0,False,502.0,False,515.0,False,20.0,True,20.0,597.0,0.003942134265737307,True,0.0026524949862829815,0.002675175222221542,0.0009010654276619117,rollover,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010997013933680445
MATR_b1c5,MATR,1072,1071,1,False,1.0803666487179524,1.0760026384615384,False,0.2003666487179523,False,1071.0,1.0760026384615384,1.0802906375291412,1.0803666487179524,1.0809871589743627,,False,,False,,False,,False,1071.0,False,,False,1018.0,False,1039.0,False,943.0,False,980.0,False,20.0,True,20.0,1071.0,0.005817834265738009,True,0.006450838485159734,0.0016997243304779047,0.0016838141074784537,rollover,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002139317149090563
MATR_b1c6,MATR,634,634,0,False,1.0817062920745957,1.0760879349650352,False,0.20170629207459556,False,634.0,1.0760879349650352,1.0810895072261109,1.0817062920745957,1.0820901256410294,,False,,False,,False,,False,634.0,False,,False,601.0,False,613.0,False,556.0,False,578.0,False,20.0,True,20.0,634.0,0.006002190675994168,True,0.00615753464251222,0.0011103772986136124,0.0009518051324452357,rollover,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011084987679968329
MATR_b1c7,MATR,868,868,0,False,1.097762040326344,1.0941548832167836,False,0.21776204032634383,False,868.0,1.0941548832167836,1.097762040326344,1.097762040326344,1.097933085314689,,False,,False,,False,,False,868.0,False,868.0,False,813.0,False,818.0,False,746.0,False,754.0,False,7.0,True,7.0,868.0,0.0037782020979053588,True,0.0034763057877106288,0.0013806998731414515,0.0007631052924635148,rollover,2.0,6.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0006141877682337251
