dataset,sign,start,end,extremum,amplitude,duration,cell_id
MATR,-1,501,502,502,-0.0038709191715023176,2,MATR_b1c12
MATR,1,734,740,734,0.0019262958804132388,7,MATR_b1c12
MATR,1,742,750,749,0.002563968633167785,9,MATR_b1c12
MATR,1,752,753,752,0.0019047472628347599,2,MATR_b1c12
MATR,-1,825,826,826,-0.0018132340233019608,2,MATR_b1c12
MATR,1,894,895,894,0.0029399347909687,2,MATR_b1c13
MATR,-1,20,29,20,-0.004536094760897354,10,MATR_b1c14
MATR,-1,20,26,20,-0.003955071487002845,7,MATR_b1c15
MATR,1,588,589,588,0.0031719713429570933,2,MATR_b1c15
MATR,1,591,593,591,0.0033076994106914716,3,MATR_b1c15
MATR,-1,20,26,20,-0.0038746512978577972,7,MATR_b1c16
MATR,1,708,709,709,0.003037592320084531,2,MATR_b1c16
MATR,-1,20,21,20,-0.003134646781330017,2,MATR_b1c17
MATR,-1,504,505,505,-0.004464511407830663,2,MATR_b1c17
MATR,1,691,694,694,0.0034130577778623207,4,MATR_b1c17
MATR,1,696,697,696,0.003259706684728298,2,MATR_b1c17
MATR,1,699,700,700,0.0032485831557108194,2,MATR_b1c17
MATR,1,704,705,705,0.0030217647713106787,2,MATR_b1c17
MATR,1,687,688,688,0.004057891963847251,2,MATR_b1c18
MATR,-1,15,22,15,-0.003390910159853112,8,MATR_b1c19
MATR,-1,504,505,505,-0.004341713668015619,2,MATR_b1c19
MATR,-1,1217,1218,1218,-0.005635559401877517,2,MATR_b1c2
MATR,-1,1223,1224,1223,-0.005533273822971102,2,MATR_b1c2
MATR,-1,1229,1230,1230,-0.005186692560934659,2,MATR_b1c2
MATR,-1,1233,1235,1235,-0.005432462610270637,3,MATR_b1c2
MATR,-1,2232,2234,2233,-0.005890321543889046,3,MATR_b1c2
MATR,-1,554,557,555,-0.004528112295596462,4,MATR_b1c21
MATR,-1,19,22,19,-0.002592417328884856,4,MATR_b1c24
MATR,-1,209,210,210,-0.004134117550251456,2,MATR_b1c24
MATR,-1,901,902,901,-0.004954024451109797,2,MATR_b1c24
MATR,-1,19,21,19,-0.002223120758334541,3,MATR_b1c25
MATR,-1,489,491,489,-0.0027737385609924482,3,MATR_b1c25
MATR,-1,715,716,716,-0.002243843491257312,2,MATR_b1c25
MATR,-1,845,852,852,-0.003754994180094972,8,MATR_b1c25
MATR,-1,14,15,15,-0.0016609619089165,2,MATR_b1c26
MATR,1,343,346,343,0.0017470761237661798,4,MATR_b1c26
MATR,-1,426,427,427,-0.0028985799214958207,2,MATR_b1c26
MATR,-1,495,498,496,-0.0033354012500454006,4,MATR_b1c26
MATR,-1,542,544,544,-0.0021224786703048894,3,MATR_b1c26
MATR,1,671,673,671,0.0017417833355187675,3,MATR_b1c26
MATR,1,677,678,678,0.0018304433023029146,2,MATR_b1c26
MATR,1,684,685,684,0.0021039088084151055,2,MATR_b1c26
MATR,1,688,691,691,0.0021402361663071783,4,MATR_b1c26
MATR,1,694,695,694,0.002209649109590793,2,MATR_b1c26
MATR,1,700,704,702,0.002034594358635551,5,MATR_b1c26
MATR,1,708,709,709,0.001657920023154499,2,MATR_b1c26
MATR,-1,14,19,19,-0.0027413803792323593,6,MATR_b1c27
MATR,-1,493,497,496,-0.0034854628120996487,5,MATR_b1c27
MATR,-1,525,526,526,-0.001596720343417803,2,MATR_b1c27
MATR,1,647,648,648,0.0017033287149770373,2,MATR_b1c27
MATR,1,650,651,650,0.0015323636348944128,2,MATR_b1c27
MATR,-1,499,500,499,-0.0031993875799797827,2,MATR_b1c28
MATR,-1,20,28,20,-0.002705582627714277,9,MATR_b1c29
MATR,-1,502,503,503,-0.0034037655227799435,2,MATR_b1c29
MATR,-1,878,879,878,-0.004613760812227776,2,MATR_b1c3
MATR,-1,970,971,970,-0.003405266741401767,2,MATR_b1c3
MATR,1,1108,1109,1108,0.0033644157191147174,2,MATR_b1c3
MATR,1,1111,1115,1113,0.0036399461877204527,5,MATR_b1c3
MATR,1,1117,1118,1118,0.0032265027195404966,2,MATR_b1c3
MATR,1,1149,1150,1149,0.003597873988563402,2,MATR_b1c3
MATR,-1,1251,1253,1253,-0.004622717578957789,3,MATR_b1c3
MATR,-1,502,503,502,-0.0029782656130154885,2,MATR_b1c30
MATR,1,575,578,577,0.002417835447319628,4,MATR_b1c30
MATR,-1,506,507,506,-0.003534079013359456,2,MATR_b1c31
MATR,1,690,691,690,0.0023281634588188673,2,MATR_b1c31
MATR,1,693,694,694,0.002476693187057762,2,MATR_b1c31
MATR,1,700,702,702,0.00238619795024815,3,MATR_b1c31
MATR,-1,502,503,503,-0.004013990568479434,2,MATR_b1c33
MATR,1,601,607,607,0.0023851261176400266,7,MATR_b1c33
MATR,1,745,746,746,0.00238978658878929,2,MATR_b1c33
MATR,1,748,755,755,0.0038612805779101463,8,MATR_b1c33
MATR,-1,14,15,14,-0.0028328173154607227,2,MATR_b1c34
MATR,1,735,740,739,0.004080738204223696,6,MATR_b1c34
MATR,-1,14,16,14,-0.0024603454704336517,3,MATR_b1c35
MATR,-1,18,19,18,-0.00258400481548258,2,MATR_b1c37
MATR,1,493,494,494,0.0038644813457846504,2,MATR_b1c39
MATR,-1,20,29,20,-0.0035252473618988893,10,MATR_b1c4
MATR,1,351,353,353,0.002903408066779667,3,MATR_b1c4
MATR,-1,500,501,501,-0.0031068011935329997,2,MATR_b1c4
MATR,-1,879,880,879,-0.017277583482564873,2,MATR_b1c4
MATR,1,1342,1343,1342,0.002878810438466215,2,MATR_b1c4
MATR,1,1408,1409,1408,0.003052361544677644,2,MATR_b1c4
MATR,1,1412,1413,1413,0.003174351619969128,2,MATR_b1c4
MATR,1,1415,1416,1415,0.0029269495536347985,2,MATR_b1c4
MATR,1,333,337,337,0.001319789816709173,5,MATR_b1c40
MATR,1,470,474,471,0.001542840223827924,5,MATR_b1c40
MATR,-1,482,484,482,-0.002908863601319494,3,MATR_b1c40
MATR,1,805,806,806,0.0012156250906840112,2,MATR_b1c40
MATR,1,808,813,809,0.001499865321494675,6,MATR_b1c40
MATR,1,926,935,931,0.0016795267821507914,10,MATR_b1c40
MATR,-1,961,962,962,-0.0014671083693259084,2,MATR_b1c40
MATR,-1,19,26,19,-0.0027017157529412176,8,MATR_b1c42
MATR,-1,20,28,20,-0.0037958571457147924,9,MATR_b1c6
MATR,1,632,634,634,0.004150905632037862,3,MATR_b1c6
MATR,-1,7,9,7,-0.0018447804861331388,3,MATR_b1c7
MATR,-1,12,17,12,-0.004915822421771369,6,MATR_b1c7
MATR,1,504,509,508,0.00212694123944702,6,MATR_b1c7
MATR,-1,517,520,518,-0.0034739013520187893,4,MATR_b1c7
MATR,-1,545,546,545,-0.0016235141006380575,2,MATR_b1c7
MATR,-1,569,570,569,-0.007881697852154,2,MATR_b1c7
MATR,1,862,868,867,0.002540460075340065,7,MATR_b1c7
MATR,-1,20,26,20,-0.0021736264045775604,7,MATR_b1c8
MATR,1,339,344,343,0.001984772812964233,6,MATR_b1c8
MATR,-1,490,493,491,-0.004059824495202313,4,MATR_b1c8
MATR,-1,554,555,554,-0.0018302755608125647,2,MATR_b1c8
MATR,1,715,716,716,0.0019336112385952091,2,MATR_b1c8
MATR,1,726,735,732,0.0030616806791579415,10,MATR_b1c8
MATR,1,744,745,744,0.001814897107042232,2,MATR_b1c8
MATR,1,755,756,756,0.001977925753435928,2,MATR_b1c8
MATR,-1,804,806,806,-0.0019126721154003625,3,MATR_b1c8
MATR,-1,808,811,808,-0.002002017075095155,4,MATR_b1c8
MATR,-1,823,824,824,-0.002032624121929895,2,MATR_b1c8
MATR,-1,827,828,827,-0.0018073970004953738,2,MATR_b1c8
MATR,1,871,877,876,0.0026543392515740454,7,MATR_b1c8
MATR,-1,20,27,20,-0.0025350885401421424,8,MATR_b1c9
MATR,-1,495,496,495,-0.003817420422128106,2,MATR_b1c9
MATR,1,797,799,797,0.0022117698587575214,3,MATR_b1c9
MATR,-1,72,73,72,-0.017751014377081643,2,MATR_b2c0
MATR,-1,295,299,299,-0.005376289247666587,5,MATR_b2c0
MATR,-1,250,252,250,-0.003075632408871409,3,MATR_b2c10
MATR,-1,20,27,22,-0.002975640255161296,8,MATR_b2c11
MATR,-1,249,251,249,-0.0037178511273587315,3,MATR_b2c11
MATR,1,442,443,443,0.0023443149293656024,2,MATR_b2c11
MATR,-1,468,475,475,-0.00499449394551868,8,MATR_b2c11
MATR,-1,14,23,14,-0.004678564982866893,10,MATR_b2c12
MATR,-1,454,455,454,-0.0019779360443341223,2,MATR_b2c13
MATR,1,480,482,482,0.003106999263275313,3,MATR_b2c13
MATR,-1,111,117,112,-0.022478388074281968,7,MATR_b2c17
MATR,-1,143,144,144,-0.010183978554821648,2,MATR_b2c17
MATR,1,492,493,493,0.00459120739308859,2,MATR_b2c17
MATR,-1,18,25,19,-0.003481307589920734,8,MATR_b2c18
MATR,1,485,486,486,0.004431525853178307,2,MATR_b2c18
MATR,-1,6,16,6,-0.001907258466662139,11,MATR_b2c19
MATR,-1,248,253,248,-0.005062601167787426,6,MATR_b2c19
MATR,-1,21,22,21,-0.004482958747083995,2,MATR_b2c2
MATR,-1,19,20,19,-0.0022750208408565103,2,MATR_b2c20
MATR,-1,22,26,23,-0.0021212157170798426,5,MATR_b2c20
MATR,-1,248,251,248,-0.003417805576037224,4,MATR_b2c20
MATR,-1,473,474,473,-0.001808141447680351,2,MATR_b2c20
MATR,1,497,500,499,0.0025569418673986937,4,MATR_b2c20
MATR,-1,18,23,20,-0.003451057097079566,6,MATR_b2c21
MATR,-1,248,249,248,-0.004686636951878037,2,MATR_b2c21
MATR,-1,20,21,20,-0.0035216661807072193,2,MATR_b2c22
MATR,1,510,511,511,0.004279491963280481,2,MATR_b2c22
MATR,-1,13,19,13,-0.002447893923363495,7,MATR_b2c23
MATR,-1,21,22,21,-0.001898918922070028,2,MATR_b2c23
MATR,-1,247,250,247,-0.0025574553485315757,4,MATR_b2c23
MATR,1,522,526,526,0.002957989671477122,5,MATR_b2c23
MATR,1,492,494,494,0.0056044374926519465,3,MATR_b2c24
MATR,-1,19,25,19,-0.004161107466399992,7,MATR_b2c25
MATR,-1,19,25,21,-0.00392999902996478,7,MATR_b2c26
MATR,-1,247,248,247,-0.00832289268055205,2,MATR_b2c26
MATR,-1,315,316,316,-0.0037900705550702974,2,MATR_b2c28
MATR,-1,355,356,356,-0.0038904935027973234,2,MATR_b2c28
MATR,1,508,509,509,0.005385462150113279,2,MATR_b2c28
MATR,-1,246,247,246,-0.02154841626356009,2,MATR_b2c29
MATR,1,496,497,497,0.005713241376127314,2,MATR_b2c29
MATR,-1,20,24,20,-0.003925358447708875,5,MATR_b2c30
MATR,-1,20,21,21,-0.002791119608090837,2,MATR_b2c31
MATR,1,490,491,491,0.0031954536393605498,2,MATR_b2c31
MATR,-1,202,203,202,-0.003949351303708665,2,MATR_b2c32
MATR,-1,249,250,250,-0.005839600715915547,2,MATR_b2c32
MATR,1,517,518,518,0.005266504637297631,2,MATR_b2c32
MATR,1,517,519,519,0.004708736918773695,3,MATR_b2c33
MATR,1,497,498,498,0.005892134389614768,2,MATR_b2c34
MATR,-1,17,20,17,-0.005678689189240587,4,MATR_b2c35
MATR,-1,20,22,21,-0.00317646255795426,3,MATR_b2c38
MATR,-1,247,248,248,-0.006582217604074501,2,MATR_b2c38
MATR,1,463,464,464,0.003927763844809605,2,MATR_b2c38
MATR,1,456,458,458,0.005349793293540575,3,MATR_b2c39
MATR,-1,15,24,15,-0.0041137455175069,10,MATR_b2c4
MATR,-1,246,248,246,-0.004452525110234107,3,MATR_b2c4
MATR,-1,64,66,65,-0.006571170344503401,3,MATR_b2c40
MATR,-1,247,248,248,-0.004727456181731314,2,MATR_b2c40
MATR,-1,337,339,338,-0.015319719510230886,3,MATR_b2c40
MATR,-1,250,252,250,-0.004778144222968384,3,MATR_b2c41
MATR,1,427,428,428,0.0038280216772714347,2,MATR_b2c41
MATR,1,463,464,464,0.004782449556638852,2,MATR_b2c42
MATR,-1,247,248,247,-0.004518862847246658,2,MATR_b2c43
MATR,1,459,461,461,0.004572902650885645,3,MATR_b2c43
MATR,1,454,455,455,0.004453623571624871,2,MATR_b2c44
MATR,1,484,485,485,0.003777713904154625,2,MATR_b2c45
MATR,1,426,427,427,0.004186716693873325,2,MATR_b2c46
MATR,1,257,258,257,0.006241626840903848,2,MATR_b2c47
MATR,-1,20,25,23,-0.003028593276365363,6,MATR_b3c0
MATR,1,1003,1007,1007,0.005125076685487138,5,MATR_b3c0
MATR,-1,16,22,17,-0.0030034465902981328,7,MATR_b3c1
MATR,-1,989,992,990,-0.0029062506093484523,4,MATR_b3c1
MATR,1,1075,1076,1076,0.005183664552000154,2,MATR_b3c10
MATR,1,928,930,930,0.005611443766642567,3,MATR_b3c12
MATR,-1,20,28,20,-0.0022765495626206832,9,MATR_b3c13
MATR,-1,20,21,20,-0.0025231169362217496,2,MATR_b3c14
MATR,-1,35,36,36,-0.0026330045064115806,2,MATR_b3c16
MATR,-1,39,40,40,-0.002598072859361766,2,MATR_b3c16
MATR,1,1142,1144,1144,0.0038330939837488277,3,MATR_b3c18
MATR,-1,17,27,18,-0.002486285050987915,11,MATR_b3c2
MATR,1,1037,1038,1037,0.002115666600310575,2,MATR_b3c2
MATR,1,1040,1046,1043,0.0022370261102713793,7,MATR_b3c2
MATR,1,1263,1265,1265,0.0025582398057044206,3,MATR_b3c2
MATR,1,808,811,811,0.006468249505010528,4,MATR_b3c20
MATR,-1,768,770,770,-0.0040618179031307045,3,MATR_b3c21
MATR,-1,35,37,36,-0.0011076958558783264,3,MATR_b3c23
MATR,-1,43,47,46,-0.0022859591123472007,5,MATR_b3c23
MATR,-1,52,53,52,-0.0009151570177068456,2,MATR_b3c23
MATR,-1,203,204,204,-0.0013694184601602257,2,MATR_b3c23
MATR,-1,206,207,206,-0.0012765504946388323,2,MATR_b3c23
MATR,1,212,213,213,0.001083637487575227,2,MATR_b3c23
MATR,1,267,268,267,0.0014085796377157824,2,MATR_b3c23
MATR,1,272,275,275,0.00141035366591463,4,MATR_b3c23
MATR,1,281,284,281,0.0012681594087397296,4,MATR_b3c23
MATR,1,286,287,287,0.001434765350899299,2,MATR_b3c23
MATR,1,289,293,290,0.0013740183994630593,5,MATR_b3c23
MATR,1,301,304,304,0.0013064000147051727,4,MATR_b3c23
MATR,1,309,311,311,0.001073791294721558,3,MATR_b3c23
MATR,1,313,315,315,0.0010564293190988244,3,MATR_b3c23
MATR,1,349,354,354,0.0014830315209633177,6,MATR_b3c23
MATR,-1,458,461,459,-0.0013226929554473056,4,MATR_b3c23
MATR,-1,1695,1697,1696,-0.0013024972950034348,3,MATR_b3c23
MATR,1,1928,1931,1929,0.001210266335622515,4,MATR_b3c23
MATR,1,1933,1934,1934,0.0012729589543438995,2,MATR_b3c23
MATR,1,1939,1940,1939,0.0009779356612448823,2,MATR_b3c23
MATR,1,1944,1946,1944,0.0010311600741138227,3,MATR_b3c23
MATR,-1,20,28,21,-0.0029401745753531803,9,MATR_b3c26
MATR,1,842,848,848,0.004420498649008951,7,MATR_b3c27
MATR,-1,20,26,22,-0.002856235938062803,7,MATR_b3c3
MATR,1,1108,1113,1113,0.004263219689751978,6,MATR_b3c3
MATR,-1,37,38,37,-0.0013610793930476002,2,MATR_b3c30
MATR,1,932,933,933,0.002070141362622265,2,MATR_b3c30
MATR,1,727,729,729,0.004195350356243079,3,MATR_b3c31
MATR,-1,19,20,20,-0.001756983379378893,2,MATR_b3c32
MATR,-1,922,923,923,-0.0018391652371625646,2,MATR_b3c32
MATR,-1,20,27,20,-0.0030554500435843106,8,MATR_b3c33
MATR,-1,356,357,356,-0.0050624011353101635,2,MATR_b3c35
MATR,-1,15,22,16,-0.012047911787322252,8,MATR_b3c37
MATR,1,592,593,592,0.008942929234452968,2,MATR_b3c37
MATR,1,596,601,597,0.07286151314313094,6,MATR_b3c37
MATR,-1,618,620,619,-0.004153449188110943,3,MATR_b3c37
MATR,-1,1061,1063,1063,-0.014548782919072235,3,MATR_b3c37
MATR,1,1151,1154,1154,0.0043637279314063665,4,MATR_b3c39
MATR,-1,16,26,16,-0.0029663510309752388,11,MATR_b3c4
MATR,1,1037,1046,1046,0.0048026272255936794,10,MATR_b3c4
MATR,-1,17,25,17,-0.002258973279672515,9,MATR_b3c40
MATR,-1,20,27,21,-0.0021411277983049023,8,MATR_b3c41
MATR,1,781,784,784,0.0030095695715522124,4,MATR_b3c41
MATR,-1,16,22,16,-0.0039556719252212755,7,MATR_b3c45
MATR,-1,26,27,26,-0.004551675379634959,2,MATR_b3c45
MATR,-1,36,37,36,-0.004268154102718662,2,MATR_b3c45
MATR,-1,20,26,22,-0.003464131985901242,7,MATR_b3c5
MATR,-1,14,15,14,-0.003414403441278903,2,MATR_b3c7
MATR,1,1033,1037,1037,0.005811143362572808,5,MATR_b3c9
HUST,1,35,36,36,0.002212707554009353,2,HUST_1-1
HUST,1,1,11,1,0.009836291554817933,11,HUST_1-2
HUST,-1,20,26,20,-0.0047795613286050935,7,HUST_1-3
HUST,1,60,62,62,0.0028259096948064044,3,HUST_1-3
HUST,1,1045,1046,1045,0.00270675206561713,2,HUST_1-4
HUST,1,1073,1074,1073,0.002906013732232532,2,HUST_1-4
HUST,1,1085,1086,1085,0.002883270979514507,2,HUST_1-4
HUST,-1,20,23,20,-0.004748116549998339,4,HUST_1-5
HUST,-1,1966,1971,1970,-0.00395996910923214,6,HUST_1-5
HUST,1,26,30,30,0.002303740895861584,5,HUST_1-7
HUST,1,2276,2285,2285,0.002766729786986325,10,HUST_1-8
HUST,1,27,28,28,0.0021401657781591516,2,HUST_10-1
HUST,1,49,52,52,0.0014503670023051029,4,HUST_10-3
HUST,-1,136,137,136,-0.0013249873556480179,2,HUST_10-3
HUST,-1,141,146,141,-0.0015790817275605222,6,HUST_10-3
HUST,-1,150,155,150,-0.0015932977501397325,6,HUST_10-3
HUST,-1,161,164,161,-0.0014491275278637914,4,HUST_10-3
HUST,-1,166,172,166,-0.0016718266819356334,7,HUST_10-3
HUST,-1,174,181,174,-0.0017163005793005978,8,HUST_10-3
HUST,-1,185,190,185,-0.001584296345494421,6,HUST_10-3
HUST,-1,192,198,192,-0.0017080706342816544,7,HUST_10-3
HUST,-1,200,207,200,-0.0017597673199397676,8,HUST_10-3
HUST,-1,209,217,209,-0.0017593577018638962,9,HUST_10-3
HUST,-1,221,225,221,-0.0015590056104266491,5,HUST_10-3
HUST,-1,231,234,231,-0.0015078396352891927,4,HUST_10-3
HUST,-1,241,243,241,-0.001420978134436287,3,HUST_10-3
HUST,-1,251,252,251,-0.0013338003752997936,2,HUST_10-3
HUST,-1,1833,1834,1834,-0.001500803131428364,2,HUST_10-3
HUST,1,69,74,74,0.002051618830024246,6,HUST_10-4
HUST,1,77,78,78,0.0017527125557539687,2,HUST_10-4
HUST,1,1805,1806,1805,0.0019155462642795747,2,HUST_10-4
HUST,1,1808,1809,1808,0.0019706534459043757,2,HUST_10-4
HUST,1,86,88,88,0.0021791095428617103,3,HUST_10-5
HUST,1,27,28,28,0.0026965950517260522,2,HUST_10-6
HUST,1,75,79,79,0.0017720850872868664,5,HUST_10-7
HUST,1,82,85,85,0.001651315663377191,4,HUST_10-7
HUST,-1,171,172,171,-0.0014937180612520297,2,HUST_10-7
HUST,-1,205,208,205,-0.0016882671904728766,4,HUST_10-7
HUST,1,39,41,41,0.0017265183077749676,3,HUST_10-8
HUST,-1,119,120,119,-0.0016313829082749906,2,HUST_10-8
HUST,-1,131,134,131,-0.0018669634807477206,4,HUST_10-8
HUST,-1,139,142,139,-0.0018148390549488098,4,HUST_10-8
HUST,-1,145,149,145,-0.0019366401046742817,5,HUST_10-8
HUST,-1,166,172,166,-0.0020355199388274884,7,HUST_10-8
HUST,-1,174,179,174,-0.0019972332931079504,6,HUST_10-8
HUST,-1,183,186,183,-0.0018616372865048714,4,HUST_10-8
HUST,-1,192,194,192,-0.0017177952535362652,3,HUST_10-8
HUST,-1,199,201,199,-0.0017463798078384714,3,HUST_10-8
HUST,-1,1382,1383,1383,-0.0017474687501083427,2,HUST_10-8
HUST,-1,1389,1390,1390,-0.0019210244499627775,2,HUST_10-8
HUST,-1,1392,1400,1399,-0.002473933465604684,9,HUST_10-8
HUST,-1,176,178,176,-0.002124238602377494,3,HUST_2-2
HUST,-1,183,187,183,-0.0022480573270324453,5,HUST_2-2
HUST,-1,191,197,191,-0.0023414373094066366,7,HUST_2-2
HUST,-1,201,207,201,-0.002350611415199392,7,HUST_2-2
HUST,-1,267,269,267,-0.002107142576461815,3,HUST_2-2
HUST,-1,278,279,278,-0.002029445092279737,2,HUST_2-2
HUST,-1,284,287,284,-0.0021620439673276435,4,HUST_2-2
HUST,-1,294,298,294,-0.0021915885468791786,5,HUST_2-2
HUST,-1,305,306,305,-0.0020848915690733264,2,HUST_2-2
HUST,-1,312,316,312,-0.002204400278222474,5,HUST_2-2
HUST,-1,334,335,334,-0.002032172362476326,2,HUST_2-2
HUST,-1,20,25,20,-0.005804414967448343,6,HUST_2-3
HUST,-1,115,117,115,-0.0017949449048397113,3,HUST_2-4
HUST,-1,124,125,124,-0.001735199122400812,2,HUST_2-4
HUST,-1,131,137,135,-0.0020659671526796694,7,HUST_2-4
HUST,-1,141,142,142,-0.0018307835673130443,2,HUST_2-4
HUST,-1,145,149,145,-0.001920044092065116,5,HUST_2-4
HUST,-1,153,156,153,-0.0019117939076715837,4,HUST_2-4
HUST,-1,158,160,158,-0.001782041483784784,3,HUST_2-4
HUST,-1,162,168,162,-0.00206267740101964,7,HUST_2-4
HUST,-1,171,175,171,-0.0019633060868742844,5,HUST_2-4
HUST,-1,178,183,178,-0.002011567947330083,6,HUST_2-4
HUST,-1,185,190,185,-0.0020507556635271924,6,HUST_2-4
HUST,-1,194,198,194,-0.0019452838288590232,5,HUST_2-4
HUST,-1,202,205,202,-0.001898147280912135,4,HUST_2-4
HUST,-1,211,213,211,-0.0017817476029855178,3,HUST_2-4
HUST,1,44,46,46,0.0009829698698518312,3,HUST_2-5
HUST,1,48,54,50,0.0013795408550254502,7,HUST_2-5
HUST,1,84,87,87,0.0011570821925778957,4,HUST_2-5
HUST,1,89,98,94,0.001259996593784362,10,HUST_2-5
HUST,1,101,102,102,0.0009193095251153297,2,HUST_2-5
HUST,-1,20,23,20,-0.004522006426718252,4,HUST_2-6
HUST,1,109,113,113,0.0022852225123079707,5,HUST_2-7
HUST,-1,320,323,320,-0.002287128514615521,4,HUST_2-7
HUST,-1,329,332,329,-0.002240108470809063,4,HUST_2-7
HUST,-1,339,340,339,-0.0021470796475757605,2,HUST_2-7
HUST,-1,345,348,345,-0.002239873001483633,4,HUST_2-7
HUST,-1,354,356,354,-0.002146381160510628,3,HUST_2-7
HUST,-1,360,364,360,-0.002315052931082799,5,HUST_2-7
HUST,-1,369,371,369,-0.0022497511989527687,3,HUST_2-7
HUST,-1,374,378,374,-0.002348978853242756,5,HUST_2-7
HUST,-1,383,387,383,-0.0022944027786825642,5,HUST_2-7
HUST,-1,391,396,391,-0.002378460951135376,6,HUST_2-7
HUST,-1,398,402,398,-0.002374778223639231,5,HUST_2-7
HUST,-1,406,410,406,-0.002317601391931359,5,HUST_2-7
HUST,-1,415,418,415,-0.002261567134413861,4,HUST_2-7
HUST,-1,423,425,423,-0.0022772860690878265,3,HUST_2-7
HUST,-1,430,433,430,-0.002241085946991128,4,HUST_2-7
HUST,-1,439,442,439,-0.002169738894817448,4,HUST_2-7
HUST,-1,449,450,449,-0.0021148224244301487,2,HUST_2-7
HUST,-1,455,456,455,-0.002145873832481646,2,HUST_2-7
HUST,-1,463,464,463,-0.0020909993653237115,2,HUST_2-7
HUST,1,1,11,1,0.007209153615675437,11,HUST_2-8
HUST,1,43,48,48,0.002587945766058041,6,HUST_3-3
HUST,1,50,60,58,0.0028549564428608154,11,HUST_3-3
HUST,1,63,66,66,0.0024649677048748475,4,HUST_3-3
HUST,1,76,77,77,0.002287314389183785,2,HUST_3-3
HUST,1,38,41,41,0.0028203843659617266,4,HUST_3-4
