cell_id,type,extremum,amplitude_Ah,duration,z_at_extremum
HUST_2-2,negative,278,-0.002029445092279737,2,0.09680341622645044
HUST_2-2,negative,284,-0.0021620439673276435,4,0.09832003335998533
HUST_2-2,negative,294,-0.0021915885468791786,5,0.10025379146320122
HUST_2-2,negative,305,-0.0020848915690733264,2,0.10199607499558136
HUST_2-2,negative,312,-0.002204400278222474,5,0.10362862794929577
HUST_2-2,negative,334,-0.002032172362476326,2,0.10722051414685227
HUST_2-3,negative,20,-0.005804414967448343,6,0.0
HUST_2-4,negative,115,-0.0017949449048397113,3,0.06005873261252992
HUST_2-4,negative,124,-0.001735199122400812,2,0.06204093572624318
HUST_2-4,negative,135,-0.0020659671526796694,7,0.06609597406741904
HUST_2-4,negative,142,-0.0018307835673130443,2,0.06698657991232138
HUST_2-4,negative,145,-0.001920044092065116,5,0.06823464347658414
HUST_2-4,negative,153,-0.0019117939076715837,4,0.06998738719698494
HUST_2-4,negative,158,-0.001782041483784784,3,0.07123717065988076
HUST_2-4,negative,162,-0.00206267740101964,7,0.07298318458667138
HUST_2-4,negative,171,-0.0019633060868742844,5,0.0749070965659847
HUST_2-4,negative,178,-0.002011567947330083,6,0.07688424223698932
HUST_2-4,negative,185,-0.0020507556635271924,6,0.07884324376135846
HUST_2-4,negative,194,-0.0019452838288590232,5,0.08082546715528922
HUST_2-4,negative,202,-0.001898147280912135,4,0.0828061727710557
HUST_2-4,negative,211,-0.0017817476029855178,3,0.08480581925621954
HUST_2-5,positive,46,0.0009829698698518312,3,-0.009860346948576055
HUST_2-5,positive,50,0.0013795408550254502,7,-0.009086748569246454
HUST_2-5,positive,87,0.0011570821925778957,4,0.005614776877794466
HUST_2-5,positive,94,0.001259996593784362,10,0.007531678823318414
HUST_2-5,positive,102,0.0009193095251153297,2,0.011844549865623536
HUST_2-8,positive,1,0.007209153615675437,11,0.0
HUST_3-3,positive,48,0.002587945766058041,6,-0.0037955695356525257
HUST_3-3,positive,58,0.0028549564428608154,11,-0.0012327510173619723
HUST_3-3,positive,66,0.0024649677048748475,4,0.0020838161830069968
HUST_3-3,positive,77,0.002287314389183785,2,0.006394662834011845
HUST_3-4,positive,41,0.0028203843659617266,4,0.033302299633364056
HUST_3-5,positive,2652,0.00452214148296068,2,0.996860555258161
HUST_3-5,positive,2657,0.004417257245636062,2,0.9997140988255745
HUST_3-8,positive,94,0.0024749318239436643,2,0.017438955753318258
HUST_3-8,negative,353,-0.0024417770116984343,2,0.08941295174193746
HUST_4-2,positive,35,0.0017294652196062391,2,-0.00529435101468805
HUST_4-2,positive,69,0.001912900798562051,5,0.003330873412411253
HUST_4-2,positive,73,0.00220495295449178,3,0.004434974055940846
HUST_4-3,positive,30,0.0020150561476392375,2,0.027166130317519768
HUST_4-4,positive,44,0.0016569396177228697,4,0.03175367933621492
HUST_4-4,negative,125,-0.0015975027444464723,2,0.05931699548808971
HUST_4-4,negative,133,-0.0017472199463158475,4,0.061584856912592266
HUST_4-4,negative,141,-0.0017843938679772138,5,0.06360649825607591
HUST_4-4,negative,148,-0.0018832046145857127,7,0.06552213015623917
HUST_4-4,negative,174,-0.0019279281177766799,8,0.07164795358419233
HUST_4-4,negative,202,-0.0019035423176566489,7,0.07801390313522423
HUST_4-4,negative,213,-0.0017638009559345746,5,0.08015161753128885
HUST_4-4,negative,223,-0.0016992253518678842,4,0.08225853463741951
HUST_5-1,positive,1,0.008553221863183726,7,0.0
HUST_5-2,negative,20,-0.005722755827750424,10,0.0
HUST_5-2,positive,55,0.0024374450487661924,5,-0.018012793286738184
HUST_5-2,positive,76,0.0021711756396795012,2,-0.012255386745519794
HUST_5-4,positive,1,0.006357895922237033,2,0.0
HUST_5-5,positive,88,0.0017729672324724591,5,-0.002660195073400572
HUST_5-5,positive,95,0.0017778581437335448,5,-0.0007737499235829791
HUST_6-2,positive,43,0.0016611052859548457,2,-0.020028100275946346
HUST_6-2,positive,108,0.0013952987917493689,4,-0.0026534876509681695
HUST_6-5,positive,34,0.0012850938763828176,2,0.028182633011325942
HUST_6-5,negative,86,-0.0011449860754646894,2,0.04543812995032236
HUST_6-5,negative,91,-0.0014265564874401913,7,0.04759739718219941
HUST_6-5,negative,101,-0.0014027552125634368,6,0.04967269911767415
HUST_6-5,negative,202,-0.0014368048802181716,7,0.07139067371859895
HUST_6-5,negative,211,-0.0014499686405727704,3,0.07335739341671459
HUST_6-5,negative,218,-0.0012829680137625592,4,0.07452027948785839
HUST_6-8,positive,74,0.0024193651619990727,2,0.04918894017436
HUST_6-8,negative,214,-0.0024271047948279736,3,0.09593541905432522
HUST_6-8,negative,222,-0.0024231345586341684,2,0.09781077170919347
HUST_6-8,negative,229,-0.002493434000550844,3,0.09969377044376769
HUST_6-8,negative,236,-0.0025542429534096273,4,0.10156032464594199
HUST_6-8,negative,242,-0.002674544510299325,6,0.1033787293740958
HUST_6-8,negative,251,-0.0026162943343256365,6,0.10533960655151137
HUST_6-8,negative,294,-0.002403648989811766,2,0.1151212597819242
HUST_6-8,negative,301,-0.0024705924093387827,3,0.1168602788859242
HUST_6-8,negative,310,-0.0023996039267011925,2,0.11879615644342097
HUST_6-8,negative,317,-0.002445606552023575,2,0.12045564117364559
HUST_6-8,negative,322,-0.0026500474884597544,5,0.12240590013647883
HUST_6-8,negative,332,-0.0025057678931615455,3,0.12438289100935741
HUST_6-8,negative,348,-0.0024586313614695845,3,0.12804666685083196
HUST_6-8,negative,356,-0.0024497093858620125,3,0.12993027185520137
HUST_6-8,negative,365,-0.0023738778773741325,2,0.13186269324624034
HUST_6-8,negative,372,-0.0024089111218912715,2,0.13368088667690783
HUST_7-1,positive,33,0.002079251512211675,3,0.027385011425225515
HUST_7-4,positive,20,0.002570934228722101,2,0.018334925827499193
HUST_7-5,negative,170,-0.001330428550887582,2,0.041894949532414016
HUST_7-5,negative,178,-0.0013573040632276585,2,0.04400404994384207
HUST_7-5,negative,184,-0.001526813305567893,5,0.045881488748146966
HUST_7-5,negative,192,-0.0014805723940583778,4,0.0477376109903902
HUST_7-5,negative,200,-0.001470272055918655,5,0.04964613175734445
HUST_7-5,negative,243,-0.001302872636603193,2,0.05950871421748765
HUST_7-5,negative,260,-0.0017500210646538054,4,0.06454481832183011
HUST_7-5,negative,263,-0.0015455810835825227,5,0.06535650423192958
HUST_7-5,negative,280,-0.0014251812414226939,3,0.06896900158864175
HUST_7-5,negative,286,-0.00159887988515576,5,0.07090289252633726
HUST_7-5,negative,296,-0.0014462838057965235,4,0.07295776280905217
HUST_7-5,negative,302,-0.0015067822468022361,4,0.0745820001017043
HUST_7-5,negative,310,-0.0014722839410182054,4,0.0765048156022785
HUST_7-5,negative,325,-0.001510831796836337,4,0.08039033452397215
HUST_7-5,negative,335,-0.0013196800016452772,2,0.08215602329666914
HUST_7-5,negative,343,-0.0013183240133433061,2,0.08411287119708999
HUST_7-5,negative,349,-0.0013940403812463884,3,0.08587675495805595
HUST_7-5,negative,366,-0.0012943131986716363,2,0.08992321145985076
HUST_7-6,positive,45,0.0016386424794071614,4,0.029435299137988497
HUST_7-6,negative,123,-0.0014748675664561814,2,0.056489503689672316
HUST_7-6,negative,139,-0.0015980091958522047,3,0.06052400115863466
HUST_7-6,negative,146,-0.001705658317741141,5,0.06250303145344492
HUST_7-6,negative,155,-0.0017353778061193206,5,0.06468836122858977
HUST_7-6,negative,162,-0.0018544494865691795,6,0.06668556836730205
HUST_7-6,negative,171,-0.001836021292539641,7,0.06871621804835162
HUST_7-6,negative,182,-0.0017634012097215756,5,0.07094754198637525
HUST_7-6,negative,193,-0.0016314859701364558,4,0.0732169487041625
HUST_7-6,negative,202,-0.0015942254008266838,3,0.07513782066447224
HUST_7-6,negative,211,-0.0015865405020088841,2,0.07712130662181646
HUST_7-7,positive,52,0.0014700087614262576,2,0.03094089815272898
HUST_7-7,negative,125,-0.0014408504516740864,3,0.05392688289310986
HUST_7-7,negative,135,-0.001464761890206515,3,0.05612278140741901
HUST_7-7,negative,142,-0.0016260526484031027,6,0.05806636676433002
HUST_7-7,negative,150,-0.001743219491661575,8,0.06014109743181467
HUST_7-7,negative,201,-0.0017438453434674899,8,0.07062759496509154
HUST_7-7,negative,212,-0.001682535259794328,6,0.07269416820810004
HUST_7-7,negative,221,-0.001714392457980422,8,0.07473374971928574
HUST_8-2,positive,1,0.00602618227788592,7,0.0
HUST_8-2,positive,10,0.0030931517323620765,2,0.01158121494844923
HUST_8-3,positive,26,0.0023493391027337314,3,-0.005537249367693719
HUST_8-3,negative,342,-0.001988995939682645,2,0.0705209235914833
HUST_8-7,positive,1,0.005288039795914494,4,0.0
HUST_8-8,negative,20,-0.002895354984262801,3,0.0
HUST_8-8,positive,43,0.0020818502404350175,2,-0.00850699939426337
HUST_8-8,positive,49,0.0025657766897773915,6,-0.008535172063138516
HUST_8-8,positive,72,0.002073617031783428,2,-0.0007274359914580205
HUST_9-2,positive,25,0.0024599231451188893,2,-0.0029864509828748456
HUST_9-2,positive,86,0.002229806246708469,2,0.01037982968787705
HUST_9-3,positive,73,0.0025865660417470357,2,0.007397221738533589
HUST_9-4,positive,27,0.0025039656472240174,2,-0.0025615233323162284
HUST_9-5,positive,98,0.002109504322305046,2,0.020203472716644057
HUST_9-5,negative,318,-0.0020888668017234155,2,0.08014329436307156
HUST_9-5,negative,335,-0.002092323864690713,2,0.08398083523278478
HUST_9-5,negative,344,-0.0020817634958711717,2,0.08592265563925719
HUST_9-5,negative,360,-0.0021136145026934205,2,0.08968125811832203
HUST_9-7,positive,82,0.002425589786375261,6,0.012038494574033477
