dataset,cell_id,N,documented,T_a,T_b,T_c,T_d
MATR,MATR_b3c6,665,667.0,,661.0,665.0,548.0
MATR,MATR_b3c7,1834,1836.0,,1826.0,1834.0,1708.0
MATR,MATR_b3c8,826,828.0,,824.0,826.0,789.0
MATR,MATR_b3c9,1037,1039.0,,1034.0,1037.0,985.0
MATR,MATR_b4c0,982,857.0,856.0,853.0,856.0,790.0
MATR,MATR_b4c1,861,761.0,760.0,758.0,760.0,691.0
MATR,MATR_b4c10,1082,873.0,872.0,869.0,872.0,834.0
MATR,MATR_b4c11,930,864.0,863.0,860.0,863.0,826.0
MATR,MATR_b4c12,898,819.0,818.0,816.0,818.0,784.0
MATR,MATR_b4c13,869,772.0,771.0,769.0,771.0,741.0
MATR,MATR_b4c14,767,608.0,607.0,605.0,607.0,577.0
MATR,MATR_b4c15,871,676.0,675.0,673.0,675.0,642.0
MATR,MATR_b4c16,983,910.0,909.0,906.0,909.0,865.0
MATR,MATR_b4c17,930,828.0,828.0,825.0,828.0,782.0
MATR,MATR_b4c18,1057,907.0,906.0,903.0,906.0,862.0
MATR,MATR_b4c19,1111,992.0,991.0,988.0,991.0,939.0
MATR,MATR_b4c2,784,743.0,742.0,740.0,742.0,700.0
MATR,MATR_b4c20,804,748.0,747.0,745.0,747.0,694.0
MATR,MATR_b4c21,903,774.0,773.0,771.0,773.0,739.0
MATR,MATR_b4c22,745,672.0,671.0,669.0,671.0,642.0
MATR,MATR_b4c23,1094,1039.0,1038.0,1035.0,1038.0,987.0
MATR,MATR_b4c24,1115,989.0,988.0,985.0,988.0,942.0
MATR,MATR_b4c25,567,454.0,453.0,452.0,453.0,433.0
MATR,MATR_b4c26,579,477.0,476.0,474.0,476.0,453.0
MATR,MATR_b4c27,563,501.0,500.0,499.0,500.0,477.0
MATR,MATR_b4c28,882,829.0,828.0,826.0,828.0,796.0
MATR,MATR_b4c29,956,888.0,887.0,884.0,887.0,840.0
MATR,MATR_b4c3,911,778.0,776.0,773.0,776.0,728.0
MATR,MATR_b4c30,719,616.0,615.0,613.0,615.0,569.0
MATR,MATR_b4c31,832,560.0,559.0,557.0,559.0,535.0
MATR,MATR_b4c32,839,755.0,754.0,752.0,754.0,723.0
MATR,MATR_b4c33,530,506.0,505.0,504.0,505.0,485.0
MATR,MATR_b4c34,997,892.0,891.0,888.0,891.0,841.0
MATR,MATR_b4c35,1131,1082.0,1081.0,1078.0,1081.0,1038.0
MATR,MATR_b4c36,713,600.0,599.0,598.0,599.0,579.0
MATR,MATR_b4c37,1005,864.0,863.0,861.0,863.0,816.0
MATR,MATR_b4c38,1230,1166.0,1165.0,1160.0,1165.0,1085.0
MATR,MATR_b4c39,761,739.0,738.0,736.0,738.0,703.0
MATR,MATR_b4c4,912,657.0,656.0,655.0,656.0,633.0
MATR,MATR_b4c40,1122,1089.0,1089.0,1085.0,1089.0,1033.0
MATR,MATR_b4c41,997,837.0,836.0,833.0,836.0,800.0
MATR,MATR_b4c42,915,775.0,774.0,772.0,774.0,739.0
MATR,MATR_b4c43,951,751.0,750.0,748.0,750.0,709.0
MATR,MATR_b4c44,1077,943.0,942.0,940.0,942.0,898.0
MATR,MATR_b4c5,1067,914.0,913.0,910.0,913.0,866.0
MATR,MATR_b4c6,777,707.0,706.0,704.0,706.0,666.0
MATR,MATR_b4c7,562,530.0,529.0,528.0,529.0,511.0
MATR,MATR_b4c8,718,678.0,677.0,674.0,677.0,634.0
MATR,MATR_b4c9,529,443.0,442.0,440.0,442.0,419.0
HUST,HUST_1-1,1504,1504.0,,1489.0,1504.0,1359.0
HUST,HUST_1-2,2678,2678.0,2678.0,2642.0,2678.0,2388.0
HUST,HUST_1-3,1858,1858.0,,1840.0,1858.0,1679.0
HUST,HUST_1-4,1500,1500.0,,1485.0,1500.0,1346.0
HUST,HUST_1-5,1971,1971.0,,1953.0,1971.0,1759.0
HUST,HUST_1-6,1143,1143.0,,1129.0,1143.0,1023.0
HUST,HUST_1-7,1678,1678.0,,1661.0,1678.0,1520.0
HUST,HUST_1-8,2285,2285.0,2285.0,2258.0,2285.0,2049.0
HUST,HUST_10-1,1702,1702.0,,1686.0,1702.0,1551.0
HUST,HUST_10-2,1697,1697.0,,1684.0,1697.0,1572.0
HUST,HUST_10-3,1848,1848.0,1848.0,1834.0,1848.0,1695.0
HUST,HUST_10-4,1811,1811.0,,1795.0,1811.0,1672.0
HUST,HUST_10-5,2030,2030.0,,2013.0,2030.0,1873.0
HUST,HUST_10-6,2285,2285.0,,2259.0,2285.0,2073.0
HUST,HUST_10-7,1783,1783.0,,1769.0,1783.0,1637.0
HUST,HUST_10-8,1400,1400.0,,1388.0,1400.0,1274.0
HUST,HUST_2-2,2651,2651.0,2651.0,2630.0,2651.0,2457.0
HUST,HUST_2-3,1751,1751.0,,1731.0,1751.0,1576.0
HUST,HUST_2-4,1499,1499.0,,1485.0,1499.0,1354.0
HUST,HUST_2-5,1386,1386.0,,1371.0,1386.0,1231.0
HUST,HUST_2-6,1572,1572.0,,1560.0,1572.0,1445.0
HUST,HUST_2-7,2202,2202.0,,2187.0,2202.0,2036.0
HUST,HUST_2-8,1481,1481.0,,1466.0,1481.0,1347.0
HUST,HUST_3-1,1938,1938.0,,1921.0,1938.0,1782.0
HUST,HUST_3-2,2283,2283.0,2283.0,2260.0,2283.0,2077.0
HUST,HUST_3-3,1649,1649.0,,1636.0,1649.0,1520.0
HUST,HUST_3-4,1766,1766.0,,1754.0,1766.0,1605.0
HUST,HUST_3-5,2657,2657.0,,2619.0,2657.0,2370.0
HUST,HUST_3-6,2491,2491.0,2491.0,2465.0,2491.0,2264.0
HUST,HUST_3-7,2479,2479.0,,2445.0,2479.0,2165.0
HUST,HUST_3-8,2342,2342.0,2342.0,2323.0,2342.0,2169.0
HUST,HUST_4-1,2217,2217.0,,2204.0,2217.0,2038.0
HUST,HUST_4-2,1782,1782.0,,1766.0,1782.0,1640.0
HUST,HUST_4-3,1142,1142.0,,1133.0,1142.0,1050.0
HUST,HUST_4-4,1491,1491.0,,1478.0,1491.0,1356.0
HUST,HUST_4-5,1561,1561.0,,1547.0,1561.0,1426.0
HUST,HUST_4-6,1380,1380.0,,1368.0,1380.0,1247.0
HUST,HUST_4-7,2216,2216.0,,2190.0,2216.0,1994.0
HUST,HUST_4-8,1706,1706.0,,1690.0,1706.0,1566.0
HUST,HUST_5-1,2507,2507.0,,2475.0,2507.0,2243.0
HUST,HUST_5-2,1926,1926.0,,1907.0,1926.0,1754.0
HUST,HUST_5-3,2689,2689.0,2689.0,2661.0,2689.0,2434.0
HUST,HUST_5-4,1962,1962.0,,1939.0,1962.0,1748.0
HUST,HUST_5-5,1583,1583.0,,1566.0,1583.0,1422.0
HUST,HUST_5-6,2460,2460.0,,2428.0,2460.0,2198.0
HUST,HUST_5-7,1448,1448.0,,1437.0,1448.0,1326.0
HUST,HUST_6-1,1609,1609.0,,1589.0,1609.0,1437.0
HUST,HUST_6-2,1908,1908.0,,1889.0,1908.0,1730.0
HUST,HUST_6-3,1804,1804.0,,1784.0,1804.0,1629.0
HUST,HUST_6-4,1717,1717.0,,1700.0,1717.0,1544.0
HUST,HUST_6-5,2178,2178.0,,2156.0,2178.0,1968.0
HUST,HUST_6-6,2468,2468.0,,2438.0,2468.0,2207.0
HUST,HUST_6-8,2450,2450.0,,2413.0,2450.0,2148.0
HUST,HUST_7-1,1690,1690.0,,1674.0,1690.0,1529.0
HUST,HUST_7-2,2030,2030.0,,2016.0,2030.0,1893.0
HUST,HUST_7-3,1295,1295.0,,1282.0,1295.0,1180.0
HUST,HUST_7-4,1393,1393.0,,1382.0,1393.0,1277.0
HUST,HUST_7-5,1873,1873.0,,1861.0,1873.0,1739.0
HUST,HUST_7-6,1419,1419.0,,1407.0,1419.0,1303.0
HUST,HUST_7-7,1685,1685.0,1685.0,1670.0,1685.0,1539.0
HUST,HUST_7-8,1938,1938.0,,1920.0,1938.0,1783.0
HUST,HUST_8-1,1308,1308.0,,1296.0,1308.0,1193.0
HUST,HUST_8-2,2041,2041.0,,2019.0,2041.0,1847.0
HUST,HUST_8-3,2290,2290.0,2290.0,2271.0,2290.0,2107.0
HUST,HUST_8-4,1885,1885.0,,1868.0,1885.0,1716.0
HUST,HUST_8-5,1348,1348.0,,1335.0,1348.0,1223.0
HUST,HUST_8-6,2365,2365.0,,2334.0,2365.0,2134.0
HUST,HUST_8-7,2047,2047.0,,2022.0,2047.0,1828.0
HUST,HUST_8-8,1679,1679.0,,1665.0,1679.0,1543.0
HUST,HUST_9-1,2057,2057.0,,2041.0,2057.0,1912.0
HUST,HUST_9-2,2143,2143.0,,2123.0,2143.0,1965.0
HUST,HUST_9-3,1905,1905.0,,1889.0,1905.0,1759.0
HUST,HUST_9-4,1975,1975.0,,1959.0,1975.0,1826.0
HUST,HUST_9-5,2168,2168.0,2168.0,2148.0,2168.0,1988.0
HUST,HUST_9-6,1742,1742.0,,1727.0,1742.0,1603.0
HUST,HUST_9-7,2012,2012.0,,1994.0,2012.0,1851.0
HUST,HUST_9-8,2308,2308.0,,2286.0,2308.0,2100.0
NASA_PCoE,NASA_B0005,168,,74.0,73.0,74.0,59.0
NASA_PCoE,NASA_B0006,168,,63.0,62.0,63.0,54.0
NASA_PCoE,NASA_B0007,168,,85.0,85.0,85.0,66.0
NASA_PCoE,NASA_B0018,132,,60.0,60.0,60.0,30.0
NASA_PCoE,NASA_B0025,28,,,,,
NASA_PCoE,NASA_B0026,28,,,,,
NASA_PCoE,NASA_B0027,28,,,,,
NASA_PCoE,NASA_B0028,28,,,,,
NASA_PCoE,NASA_B0029,40,,,,,26.0
NASA_PCoE,NASA_B0030,40,,32.0,31.0,32.0,
NASA_PCoE,NASA_B0031,40,,,,,33.0
NASA_PCoE,NASA_B0032,40,,,,,31.0
NASA_PCoE,NASA_B0033,197,,,,,
NASA_PCoE,NASA_B0034,197,,,,,
NASA_PCoE,NASA_B0036,197,,1.0,1.0,1.0,1.0
NASA_PCoE,NASA_B0038,47,,1.0,1.0,1.0,1.0
NASA_PCoE,NASA_B0039,47,,1.0,1.0,1.0,1.0
NASA_PCoE,NASA_B0040,47,,1.0,1.0,1.0,1.0
NASA_PCoE,NASA_B0041,64,,,,,
NASA_PCoE,NASA_B0042,109,,3.0,3.0,3.0,2.0
NASA_PCoE,NASA_B0043,109,,3.0,3.0,3.0,2.0
NASA_PCoE,NASA_B0044,109,,3.0,3.0,3.0,2.0
NASA_PCoE,NASA_B0045,72,,,,,
NASA_PCoE,NASA_B0046,72,,,,,
NASA_PCoE,NASA_B0047,72,,,,,
NASA_PCoE,NASA_B0048,72,,,,,
NASA_PCoE,NASA_B0049,25,,,,,
NASA_PCoE,NASA_B0050,21,,,,,
NASA_PCoE,NASA_B0051,25,,,,,
NASA_PCoE,NASA_B0053,55,,,,,
NASA_PCoE,NASA_B0054,102,,,,,
NASA_PCoE,NASA_B0055,102,,,,,
NASA_PCoE,NASA_B0056,102,,,,,
