index,source_unit,T,n_patterns,split
76,NASA_B0040,35,3,test
77,NASA_B0006,66,1,validation
78,NASA_B0030,33,0,train
79,NASA_B0030,33,0,test
80,NASA_B0006,66,1,train
81,NASA_B0018,63,1,train
82,NASA_B0005,74,0,train
83,NASA_B0040,35,1,test
84,NASA_B0030,33,0,validation
85,NASA_B0006,66,0,validation
86,NASA_B0030,33,0,test
87,NASA_B0018,63,0,train
88,NASA_B0036,198,1,train
89,NASA_B0006,66,2,train
90,NASA_B0006,66,1,test
91,NASA_B0030,33,0,train
92,NASA_B0006,66,0,train
93,NASA_B0006,66,2,train
94,NASA_B0043,16,0,train
95,NASA_B0005,74,2,validation
96,NASA_B0043,16,0,train
97,NASA_B0036,198,2,train
98,NASA_B0007,83,0,validation
99,NASA_B0007,83,0,train
100,NASA_B0007,83,0,validation
101,NASA_B0018,63,0,validation
102,NASA_B0043,16,0,train
103,NASA_B0036,198,1,train
104,NASA_B0030,33,0,train
105,NASA_B0018,63,1,validation
106,NASA_B0030,33,0,train
107,NASA_B0006,66,1,train
108,NASA_B0018,63,1,test
109,NASA_B0036,198,1,test
110,NASA_B0036,198,2,train
111,NASA_B0040,35,0,test
112,NASA_B0030,33,0,train
113,NASA_B0006,66,2,validation
114,NASA_B0006,66,1,train
115,NASA_B0018,63,1,validation
116,NASA_B0040,35,1,train
117,NASA_B0018,63,0,test
118,NASA_B0007,83,0,train
119,NASA_B0006,66,1,train
120,NASA_B0018,63,2,test
121,NASA_B0006,66,1,train
122,NASA_B0005,74,0,train
123,NASA_B0036,198,2,train
124,NASA_B0007,83,0,train
125,NASA_B0006,66,2,train
126,NASA_B0036,198,3,train
127,NASA_B0007,83,0,train
128,NASA_B0018,63,0,train
129,NASA_B0030,33,0,test
130,NASA_B0030,33,0,validation
131,NASA_B0018,63,2,validation
132,NASA_B0043,16,0,train
133,NASA_B0036,198,2,train
134,NASA_B0018,63,4,train
135,NASA_B0006,66,3,train
136,NASA_B0018,63,1,test
137,NASA_B0007,83,0,test
138,NASA_B0005,74,2,train
139,NASA_B0007,83,0,test
140,NASA_B0018,63,3,train
141,NASA_B0043,16,0,train
142,NASA_B0006,66,1,train
143,NASA_B0030,33,0,train
144,NASA_B0006,66,1,test
145,NASA_B0006,66,0,train
146,NASA_B0007,83,0,train
147,NASA_B0043,16,0,train
148,NASA_B0007,83,0,train
149,NASA_B0006,66,0,train
150,NASA_B0043,16,0,train
151,NASA_B0006,66,4,train
152,NASA_B0005,74,2,train
153,NASA_B0006,66,1,test
154,NASA_B0005,74,1,train
155,NASA_B0043,16,0,validation
156,NASA_B0043,16,0,train
157,NASA_B0030,33,0,train
158,NASA_B0036,198,0,test
159,NASA_B0005,74,1,validation
160,NASA_B0043,16,0,train
161,NASA_B0005,74,0,test
162,NASA_B0036,198,2,train
163,NASA_B0005,74,1,train
164,NASA_B0018,63,1,train
165,NASA_B0005,74,1,test
166,NASA_B0040,35,1,validation
167,NASA_B0007,83,0,validation
168,NASA_B0018,63,1,test
169,NASA_B0007,83,0,train
170,NASA_B0030,33,0,validation
171,NASA_B0040,35,3,validation
172,NASA_B0005,74,2,train
173,NASA_B0018,63,0,train
174,NASA_B0005,74,2,train
175,NASA_B0040,35,1,train
176,NASA_B0030,33,0,train
177,NASA_B0006,66,0,train
178,NASA_B0005,74,1,train
179,NASA_B0030,33,0,train
180,NASA_B0007,83,0,train
181,NASA_B0036,198,1,train
182,NASA_B0030,33,0,train
183,NASA_B0006,66,3,train
184,NASA_B0030,33,0,train
185,NASA_B0006,66,2,test
186,NASA_B0043,16,0,train
187,NASA_B0030,33,0,train
188,NASA_B0007,83,0,train
189,NASA_B0005,74,6,train
190,NASA_B0030,33,0,train
191,NASA_B0030,33,0,train
192,NASA_B0006,66,2,train
193,NASA_B0005,74,0,train
194,NASA_B0043,16,0,test
195,NASA_B0040,35,4,train
196,NASA_B0005,74,1,validation
197,NASA_B0018,63,1,train
198,NASA_B0043,16,0,train
199,NASA_B0005,74,0,train
200,NASA_B0006,66,2,train
201,NASA_B0006,66,0,train
202,NASA_B0036,198,3,test
203,NASA_B0006,66,1,train
204,NASA_B0043,16,0,train
205,NASA_B0018,63,2,train
206,NASA_B0040,35,1,test
207,NASA_B0040,35,2,train
208,NASA_B0043,16,0,test
209,NASA_B0043,16,0,train
210,NASA_B0036,198,1,validation
211,NASA_B0018,63,0,test
212,NASA_B0043,16,0,test
213,NASA_B0043,16,0,train
214,NASA_B0030,33,0,train
215,NASA_B0036,198,2,train
216,NASA_B0007,83,0,validation
217,NASA_B0040,35,2,train
218,NASA_B0006,66,2,train
219,NASA_B0030,33,0,train
220,NASA_B0018,63,0,train
221,NASA_B0043,16,0,validation
222,NASA_B0006,66,0,train
223,NASA_B0018,63,3,train
224,NASA_B0007,83,0,train
225,NASA_B0006,66,0,train
226,NASA_B0007,83,0,train
227,NASA_B0005,74,0,train
228,NASA_B0007,83,0,train
229,NASA_B0040,35,3,validation
230,NASA_B0018,63,2,train
231,NASA_B0036,198,1,train
232,NASA_B0007,83,0,train
233,NASA_B0040,35,2,train
234,NASA_B0018,63,2,train
235,NASA_B0007,83,0,train
236,NASA_B0043,16,0,train
237,NASA_B0006,66,1,train
238,NASA_B0006,66,0,train
239,NASA_B0043,16,0,validation
240,NASA_B0006,66,0,validation
241,NASA_B0036,198,5,train
242,NASA_B0018,63,1,test
243,NASA_B0005,74,1,train
244,NASA_B0043,16,0,train
245,NASA_B0040,35,1,train
246,NASA_B0030,33,0,validation
247,NASA_B0036,198,3,train
248,NASA_B0005,74,1,validation
249,NASA_B0007,83,0,train
250,NASA_B0007,83,0,train
251,NASA_B0036,198,2,train
252,NASA_B0005,74,1,test
253,NASA_B0006,66,1,train
254,NASA_B0007,83,0,train
255,NASA_B0005,74,3,test
256,NASA_B0018,63,0,train
257,NASA_B0006,66,0,train
258,NASA_B0036,198,5,test
259,NASA_B0018,63,2,train
260,NASA_B0005,74,0,validation
261,NASA_B0018,63,1,test
262,NASA_B0007,83,0,train
263,NASA_B0040,35,4,train
264,NASA_B0036,198,0,train
265,NASA_B0043,16,0,train
266,NASA_B0036,198,4,validation
267,NASA_B0036,198,1,train
268,NASA_B0005,74,2,validation
269,NASA_B0006,66,1,train
270,NASA_B0040,35,1,train
271,NASA_B0036,198,4,train
272,NASA_B0036,198,0,train
273,NASA_B0006,66,2,validation
274,NASA_B0007,83,0,train
275,NASA_B0040,35,1,train
276,NASA_B0036,198,2,train
277,NASA_B0007,83,0,validation
278,NASA_B0007,83,0,validation
279,NASA_B0006,66,1,train
280,NASA_B0006,66,1,validation
281,NASA_B0030,33,0,train
282,NASA_B0043,16,0,test
283,NASA_B0030,33,0,train
284,NASA_B0005,74,0,train
285,NASA_B0006,66,1,validation
286,NASA_B0005,74,1,validation
287,NASA_B0036,198,2,train
288,NASA_B0018,63,2,test
289,NASA_B0043,16,0,train
290,NASA_B0006,66,1,train
291,NASA_B0040,35,2,train
292,NASA_B0005,74,0,train
293,NASA_B0040,35,3,test
294,NASA_B0040,35,4,train
295,NASA_B0030,33,0,validation
296,NASA_B0036,198,3,validation
297,NASA_B0018,63,1,train
298,NASA_B0006,66,0,test
299,NASA_B0007,83,0,train
